Produkt	Preis	Gesamtwertung	Preis-Leistung	Telefon und Akku	Internet	Multimedia	Handling	App-Store	Getestet mit	Aktuelles Betriebssystem	Handbuch	App-Store-Anbindung	Prozessor	Prozessor-Kerne	Prozessor-Takt (MHz)	Arbeitsspeicher (MByte)	SAR-Wert (W/kg)	Akku Sprechzeit (Stunden)	Akku Online-Laufzeit (Stunden)	Akku Lade-Dauer (Stunden)	Akku: Kapazität (mAh)	Akku: Austauschbar	Gesamt-Wertung Akku	Gewicht (g)	Höhe x Breite (mm)	Dicke (mm)	Anmutung	WLAN	GSM-Frequenzbänder	EDGE	UMTS: Daten empfangen	UMTS: Daten versenden	LTE: Unterstützte Frequenzbänder	LTE: Cat-4	Videotelefon	Touchscreen	Touchscreen: Reaktionsfreudigkeit	Display: Typ	Display: Abmessungen	Display: Diagonale (Zoll)	Display: Auflösung	Display: Pixeldichte (ppi)	Display: Farbanzahl	Display: Reflektions-Kontrast	Display: Helligkeit bei Umgebungslicht (cd/m²)	Display: Schachbrett-Kontrast	Sprachaufnahme	Profile	Push-E-Mail	E-Mail per Exchange	Speicher (MByte)	Speicherkarten-Slot	USB-Version	USB-Buchse	USB: Zeit für Übertragung von 100 MByte (s)	SIM-Slot	Bluetooth	NFC	Kamera: Auflösung (Megapixel)	Front-Kamera: Auflösung	Kamera: Autofokus	Kamera: Blitztyp	Camcorder-Auflösung	TV-Ausgang	Musik-Player: Formate	Video-Player	UKW-Radio	Navi: GPS-Empänger	Navi: Software	Navi: Vollversion	Navi: Software-Typ	Navi: Landkarten	Navi: GPS-Fix	Benchmark: Browsermark 1.0	Benchmark: Browsermark 2.0	Getestet am
HTC One M8	479	97.4	65	97.4	99	92.7	100	95.8	Android 4.4.2 mit HTC Sense 6.0	Android 4.4.2	-	Google Play	Qualcomm MSM8974AB Snapdragon 801	4	2.3	2048	0.42	9.13333333333333	8	3.18333333333333	2600	-	83.6	160	146 x 71	10	exzellent	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	443	16.777.216 Farben	4.2:1	482	148:01:00	ja	ja	ja	ja	10096	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Nano-SIM	4.0 (mit A2DP)	Open NFC	4.1	2560 x 1920	ja	Doppel LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.883 Punkte	31.03.2014
Samsung Galaxy S5	359	97.2	66	98.1	100	95	96.7	95.8	Android 4.4.2 mit Samsung TouchWiz	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974AC Snapdragon 801	4	2.5	2048	0.56	7.95	8.5	2.3	2800	ja	91.2	145	142 x 73	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	64 x 113	5.1	1080 x 1920	432	16.777.216 Farben	2.7:1	404	166:01:00	ja	ja	ja	ja	10905	für microSD-Karten	USB 3.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	15.9	1920 x 1080	ja	LED-Blitz	2.160 x 3.840 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.889 Punkte	08.04.2014
Sony Xperia Z2	390	96.6	67	96.8	98.7	94.7	96.5	95.8	Android 4.4.2 mit Sony UI	Android 4.4.2	-	Google Play	Qualcomm MSM8974AB Snapdragon 801	4	2.3	3072	0.71	10.6166666666667	8.35	3.1	3200	-	88.4	164	147 x 74	8	exzellent	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	64 x 114	5.2	1080 x 1920	427	16.777.216 Farben	5.3:1	420	134:01:00	-	ja	ja	ja	11776	für microSD-Karten	USB 2.0	Micro-USB-Buchse	12	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20.7	1920 x 1080	ja	LED-Blitz	2.160 x 3.840 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.314 Punkte	24.04.2014
Samsung Galaxy Note 3	461.5	96.4	68	99.8	98.7	96.3	92.7	95.8	Android 4.3 mit SamsungTouchWiz und Dropbox	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.3	3072	0.29	9.06666666666667	9.15	2.56666666666667	3200	ja	92.9	168	151 x 80	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	71 x 127	5.7	1080 x 1920	386	16.777.216 Farben	3.2:1	376	161:01:00	ja	ja	ja	ja	26112	für microSD-Karten	USB 3.0	Micro-USB-Buchse	3	für Micro-SIM	4.0 (mit A2DP)	Open NFC	12.8	1920 x 1080	ja	LED-Blitz	2.160 x 3.840 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	2.528 Punkte	10.10.2013
Sony Xperia Z1 Compact	325	96.4	80	96.1	97.1	92.4	98.9	95.8	Android 4.3 mit Sony UI	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.74	7.7	8.35	2.8	2300	-	81.2	136	127 x 66	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	53 x 95	4.3	720 x 1280	344	16.777.216 Farben	4.8:1	501	149:01:00	ja	ja	ja	ja	11366	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20.7	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	2.654 Punkte	07.01.2014
HTC One Mini 2	357.9	95.9	75	95.2	96.4	90.5	99.7	95.8	Android 4.4.2 mit HTC Sense 6.0	Android 4.4.2	-	Google Play	Qualcomm MSM8226 Snapdragon 400	4	1.2	1024	1.46	9.31666666666667	6.66666666666667	2.66666666666667	2100	-	81.1	137	137 x 65	11	exzellent	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	56 x 99	4.5	720 x 1280	327	16.777.216 Farben	4.9:1	425	157:01:00	ja	ja	ja	ja	10649	für microSD-Karten	USB 2.0	Micro-USB-Buchse	10	für Nano-SIM	4.0 (mit A2DP)	Open NFC	13.2	2560 x 1920	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	939 Punkte	23.05.2014
Samsung Galaxy K Zoom	359	95.9	75	98.9	97.5	91.7	95.5	95.8	Android 4.4.2 mit Samsung TouchWiz	Android 4.4.2	-	Google Play	Samsung Exynos 5260	6	1.7	2048	0.4	12.1166666666667	6.23333333333333	2.21666666666667	2430	ja	95.8	200	137 x 71	21	sehr gut	802.11n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	60 x 106	4.8	720 x 1280	306	16.777.216 Farben	3.9:1	351	199:01:00	ja	ja	ja	ja	4910	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20	1920 x 1080	ja	Halogen-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	9 Sekunden	-	-	16.07.2014
LG G2	339.9	95.4	81	99.6	96.8	93.5	92.8	95.8	Android 4.2.2 mit Optimus UI	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.3	2048	0.41	10.2833333333333	9.15	2.66666666666667	3000	-	90.1	143	139 x 71	10	gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	65 x 116	5.2	1080 x 1920	421	16.777.216 Farben	5.0:1	407	160:01:00	ja	ja	ja	ja	25292	-	USB 2.0	Micro-USB-Buchse	14	für Micro-SIM	4.0 (mit A2DP)	Open NFC	13	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	proprietärer HDMI	MP3. WMA. AAC	ja	Mit RDS	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	13 Sekunden	-	1.891 Punkte	18.09.2013
Sony Xperia Z1	316.9	95.3	79	94.7	98.3	94	94.6	95.8	Android 4.2.2 mit Sony UI	Android 4.4.2	Zum Download	Google Play	Qualcomm MSM8974 Snapdragon 800	4	2.2	2048	0.77	11.5333333333333	6.3	3.53333333333333	3000	-	80.6	170	144 x 75	9	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	LCD	62 x 110	5	1080 x 1920	444	16.777.216 Farben	5.3:1	502	147:01:00	ja	ja	ja	ja	11776	für microSD-Karten	USB 2.0	Micro-USB-Buchse	13	für Micro-SIM	4.0 (mit A2DP)	Open NFC	20.7	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. AAC	ja	ja	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	7 Sekunden	-	2.329 Punkte	08.10.2013
Samsung Galaxy Note 3 Neo	324.5	95.2	80	99.7	97.6	91.9	92.4	95.8	Android 4.3 mit SamsungTouchWiz und Dropbox	Android 4.3	-	Google Play	Samsung Exynos 5260	6	1.7	2048	0.39	11.6833333333333	7.85	2.53333333333333	3100	ja	100	163	147 x 77	10	sehr gut	802.11ac/n/g/b/a	Quad-Band	ja	42.2 MBit/s	5.8 MBit/s	800. 1.800. 2.600 MHz	ja	WLAN und UMTS	Kapazitiv (mit Multitouch)	sehr gut	OLED	69 x 122	5.5	720 x 1280	266	16.777.216 Farben	3.6:1	408	175:01:00	ja	ja	ja	ja	11899	für microSD-Karten	USB 2.0	Micro-USB-Buchse	9	für Micro-SIM	4.0 (mit A2DP)	Open NFC	8	1920 x 1080	ja	LED-Blitz	1.080 x 1.920 Pixel	HDMI über microUSB (MHL)	MP3. WMA. AAC	ja	-	ja	vorinstalliert	Vollversion	Offboard (Google Maps)	Offboard	8 Sekunden	-	755 Punkte	13.05.2014
